类别,名称,经度,纬度,地址,类型,省,市,区县
公交站,市政府(公交站),118.054332,36.812938,102路/K102路;105路/K105路;108路/K108路;116路/K116路(北线);116路/K116路(南线);127路/K127路;135路/K135路;136路/K136路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,中国银行(公交站),118.052072,36.815448,123路/K123路;136路/K136路;151路(王府井-淄川)直达/K151路;157路/K157路;158路/K158路;181路/K181路;251路/K251路;35路/K35路;51路西线;58路/K58路;89路/K89路;90路/K90路北线;90路/K90路南线;接站专线车,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市青少年宫(公交站),118.051109,36.812191,123路/K123路;127路/K127路;157路/K157路;158路/K158路;251路/K251路;35路/K35路;51路西线;58路/K58路;89路/K89路;90路/K90路北线;90路/K90路南线;92路/K92路;接站专线车,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市府东一街(公交站),118.055937,36.813894,102路/K102路;122路/K122路;125路/K125路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,人民公园(公交站),118.050289,36.809018,123路/K123路;127路/K127路;151路(王府井-淄川)直达/K151路;157路/K157路;158路/K158路;251路/K251路;35路/K35路;51路西线;58路/K58路;89路/K89路;90路/K90路北线;90路/K90路南线;92路/K92路;定制公交赏花灯专线一,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,新元学校(公交站),118.052990,36.819049,123路/K123路;136路/K136路;157路/K157路;158路/K158路;251路/K251路;35路/K35路;51路西线;58路/K58路;89路/K89路;90路/K90路北线;90路/K90路南线;接站专线车,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,天泰金店珠宝城(公交站),118.049340,36.804800,132路/K132路;137路/K137路;151路(王府井-淄川)直达/K151路;160路/K160路;181路/K181路;251路/K251路;35路/K35路;51路西线;87路大站快线;89路/K89路;90路/K90路北线;90路/K90路南线;92路/K92路;夜160路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,八大局市场南门(公交站),118.066253,36.804204,(停运)公交专线;(停运)蒲松龄纪念馆公交旅游专线;136路/K136路;71路;71路(6点30分);定制公交赏花灯专线一,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,人民路金晶大道路口(公交站),118.061024,36.811690,105路/K105路;108路/K108路;116路/K116路(北线);116路/K116路(南线);127路/K127路;135路/K135路;136路/K136路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,淄博市级机关医院(公交站),118.056262,36.811678,122路/K122路;125路/K125路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
