类别,名称,经度,纬度,地址,类型,省,市,区县
公园,淄博人民公园,118.048798,36.810627,公园街道柳泉路,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,张店儿童公园,118.071556,36.801765,共青团东路30号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,火炬公园,118.053802,36.837551,柳泉路与中润大道交汇处西北角,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博高新区文体公园,118.070240,36.840741,四宝山街道政通路165号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,张店市民公园,118.021792,36.804554,马尚街道张店区政府旁,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,新华公园,118.067006,36.795700,东二路与新村东路交叉口西南,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,小西湖公园,118.036583,36.809735,北西五路与共青团西路辅路交叉口北80米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,青龙山公园,118.088849,36.826097,纬一路,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,莲池法治文化公园,118.034230,36.823497,华光路123号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,瑷肯体育公园,118.062260,36.839220,政通路151号院内球馆(原大球馆),风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博人民公园人工湖,118.047839,36.809601,柳泉路与共青团西路交叉口西北侧,风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,猪龙河生态公园,118.049490,36.804743,柳泉路与美食街交叉路口往东北约100米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,西张游园,118.085153,36.796736,东四路与新村路交叉口东北,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,东方文化艺术园山东庄孜教育,118.040975,36.801225,新村西路99号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
公园,齐盛湖公园,117.989284,36.841662,中润大道,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,花山公园,118.119490,36.824708,尚军路,风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,双创公园城发展服务中心,118.106956,36.811215,四宝山园区路与尚庄路交叉口南720米,生活服务;生活服务场所;生活服务场所,山东省,淄博市,张店区
公园,金乔游园,118.076624,36.814346,东三路与潘南路交叉口东北240米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,金带公园,117.987166,36.820675,人民西路218号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,张店儿童公园海泡泡乐园,118.071332,36.800814,共青团东路30号张店儿童公园内(南侧),体育休闲服务;休闲场所;游乐场,山东省,淄博市,张店区
公园,人民公园牡丹花,118.049350,36.812103,人民西路19号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,良乡体育运动公园,118.073226,36.777487,良乡小区内,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,孝妇河湿地公园,117.966585,36.799996,和平路,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,玉龙湖湿地公园,118.036436,36.876983,齐新大道与北西五路交叉口西260米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,西五路游园,118.036780,36.842630,西五路与政通路西,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,柳泉路沿河公园,118.046793,36.794352,兴学街与柳泉路交叉口东20米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博人民公园喷泉,118.049875,36.810650,公园街道柳泉路淄博人民公园内(东侧),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,淄博人民公园人工湖中湖区,118.049812,36.810446,公园街道柳泉路淄博人民公园内(东侧),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,淄博人民公园南湖游船码头,118.047164,36.809531,柳泉路与共青团西路交叉口西北侧,风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,淄博人民公园北木栈道,118.048221,36.812498,公园街道柳泉路淄博人民公园内(北侧),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,淄博人民公园南木栈道,118.047740,36.810132,公园街道柳泉路淄博人民公园内(西南角),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,商家公园,118.097382,36.784934,烟厂东路4号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博人民公园人工湖芦苇荡,118.048180,36.810042,公园街道柳泉路淄博人民公园内,风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,北营公园,118.076584,36.860381,金晶大道与淄博立交交叉口西约100米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,颐景园中心公园,118.045123,36.797955,柳泉路21号颐景园内,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,张店儿童公园海蓝秘境,118.070644,36.801499,共青团东路30号张店儿童公园内(西侧),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,淄博2025机器人公园,118.108726,36.810638,四宝山街道二零二二路1001号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,张店市民公园沙滩,118.022267,36.804671,张店市民公园,风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,人民公园店,118.052264,36.811075,柳泉路162号丰茂大厦,餐饮服务;中餐厅;中餐厅|风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,淄博人民公园南湖心岛,118.047465,36.809787,公园街道柳泉路淄博人民公园内(西南角),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,九顶山公园,118.149906,36.825267,四宝山街道四宝山街道荣兰线,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,良乡公园,118.073459,36.777821,良乡体育运动公园(东北角),风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,齐林公园,118.062031,36.860615,裕民路金晶大道126号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,张店儿童公园活氧森林,118.073114,36.801707,共青团东路30号张店儿童公园内(东侧),风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,孝妇河骑行公园,118.003852,36.747937,南京路138号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,和平游园,118.032201,36.797716,和平路以北和平路北二巷以西,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,桥下公园,117.968623,36.851769,原山大道与鲁泰大道交叉处,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博人民公园中湖心岛,118.048937,36.810558,公园街道柳泉路淄博人民公园内,风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,猪龙河银泰城游园,118.037736,36.852834,银泰城口南北两侧,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博小镰仓,117.978712,36.796826,和平路孝妇河湿地公园内(东侧),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,泰苑社区科普主题公园,118.036588,36.818969,北西五路兴业家园(北西六路),风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,法治文化公园,118.070640,36.884022,四宝山街道柳泉路甜源生活区西,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博人民公园小山,118.048151,36.810485,公园街道柳泉路淄博人民公园内,风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,淄博人民公园北湖心岛,118.048952,36.810991,公园街道柳泉路淄博人民公园内,风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,火炬公园人工瀑布,118.051140,36.838340,柳泉路与中润大道交汇处西北角火炬公园内(西侧),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,和平街道见义勇为主题公园,118.039853,36.798472,和平社区,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,劳动公园-福欣园,118.032785,36.807663,南西六路共青团西路交叉口东南角,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,王母台,118.118181,36.823832,尚军路花山公园,风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,火炬公园人工溪流,118.051307,36.838110,火炬公园内(西侧),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,火炬公园假山,118.051118,36.838352,柳泉路与中润大道交汇处西北角火炬公园内(西侧),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,凯盛南湖湿地公园,118.007744,36.742352,财富大道3号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,火炬公园两处湖心礁,118.052719,36.837308,柳泉路与中润大道交汇处西北角火炬公园内(西侧),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,远景花园法治科普游园,118.019766,36.842117,盛湖路与北苑东街交叉口东南120米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,齐盛湖公园-大明轩,117.987165,36.841650,齐盛湖公园,风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,孙庄党建主题公园,118.123778,36.846458,孙庄社区,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,揽翠亭,117.984481,36.780076,孝妇河湿地公园(东南角),风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,云影河淄博新区水系公园湖心岛,117.989909,36.822494,心环东路淄博新区水系公园内(北侧),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,孝妇河湿地公园南区,117.979443,36.784027,G309(昌国路),风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,猪龙河万杰路游园,118.040305,36.842185,猪龙河万杰路口南北两侧,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,劳动公园,117.995085,36.823149,北京路31号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博市张店区和平喷泉公园,117.970292,36.802271,天津路南头与和平路西端交汇处丁字路口南侧,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,新时代美德健康生活主题公园,118.036701,36.840526,西五路与政通路西西五路游园内(南侧),风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,慈恩亭,117.979900,36.799637,孝妇河湿地公园新盛街西,风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,美达世纪华庭中心公园,118.016764,36.824686,小商品街88号美达世纪华庭内,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,听雨轩,118.021371,36.764159,世纪路与华福大道交叉口北380米,风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,玉龙阁,118.041608,36.880975,玉龙湖湿地公园(东北角),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,花山梅花谷,118.123008,36.826672,中润大道与博学路交叉口南240米,风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,淄博人民公园人工湖南湖区,118.047817,36.810136,公园街道柳泉路淄博人民公园内(西南角),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,齐盛湖公园北门办公区,117.988034,36.844019,龙泰贵府盛湖路南门对面公园停车场公园内东50米,风景名胜;公园广场;公园广场,山东省,淄博市,张店区
公园,一茗海棠园,117.997268,36.877386,齐新大道与北京路交叉口西120米,风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,九顶山·日光域营地乐园,118.154775,36.832025,九顶山公园(东北角),体育休闲服务;休闲场所;露营地,山东省,淄博市,张店区
公园,花海乐园,117.979197,36.783621,和平路孝妇河湿地公园东南角,风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,齐盛湖公园-邀月轩,117.983790,36.840449,房镇镇中润大道齐盛湖公园内(西侧),风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,云影河淄博新区水系公园河心岛,117.988740,36.819801,心环东路淄博新区水系公园内(西南角),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,兰谷清泉,118.125168,36.826888,尚军路花山公园内(东侧),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,高新区122交通安全主题公园,118.071863,36.865687,裕民路与顺河路交叉口,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博人民公园湖心礁,118.048125,36.811170,公园街道柳泉路淄博人民公园内(西北角),风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,房镇体育公园,117.965537,36.863540,美田路,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,滨河步道,117.980059,36.795776,和平路孝妇河湿地公园内(东侧),风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,和乐园,117.978215,36.800411,孝妇河湿地公园内(东侧),风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,傅山公园,118.143232,36.875205,中心路与蟠龙山东路交叉口东南240米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博市植物园九孔桥,118.027835,36.792995,世纪路28号淄博市植物园,风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,娱亲亭,117.967538,36.797954,孝妇河湿地公园(东南角),风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,孙庄游园,118.122867,36.846228,民祥路与玉皇山路交叉口东南角,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,体坛小区中心公园,118.028164,36.800127,新村路劳动大厦西新村西路体坛小区内,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博新区水系公园,117.989777,36.820477,心环东路,风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,青年公园,118.040537,36.760851,南定镇西山路21号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,南营公园,118.068447,36.845105,鲁泰大道,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,涝淄河公园,118.071893,36.871010,四宝山街道赵王路三玉花园附近,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,孝妇河湿地公园-观景台,117.954727,36.805001,和平路孝妇河湿地公园(西北角),风景名胜;风景名胜;观景点,山东省,淄博市,张店区
公园,后花园,118.022009,36.825975,江南豪庭社区居民委员会东南侧90米,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,山东省,淄博市,张店区
公园,百家姓主题纪念公园,117.995852,36.885687,北京路和齐祥交叉口,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,白鹭乐园,118.008001,36.742924,财富大道3号凯盛南湖湿地公园,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,涝淄河交通安全主题园,118.072132,36.867468,警民路与文化路交叉口西120米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,公园驿站,118.025264,36.792654,世纪路28号,风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,德治文化公园,118.074285,36.883545,法治文化公园,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,泱泱齐风,117.975297,36.801194,和平路孝妇河湿地公园内(东侧),风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,樱花私语,117.967904,36.801912,和平路孝妇河湿地公园(东北角),风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
公园,陶光溢彩,117.974297,36.801007,和平路孝妇河湿地公园内(东侧),风景名胜;风景名胜相关;旅游景点,山东省,淄博市,张店区
