类别,名称,经度,纬度,地址,类型,省,市,区县
公园,淄博人民公园,118.048798,36.810627,公园街道柳泉路,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,张店儿童公园,118.071556,36.801765,共青团东路30号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,火炬公园,118.053802,36.837551,柳泉路与中润大道交汇处西北角,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博高新区文体公园,118.07024,36.840741,四宝山街道政通路165号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,张店市民公园,118.021792,36.804554,马尚街道张店区政府旁,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,新华公园,118.067006,36.7957,东二路与新村东路交叉口西南,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,小西湖公园,118.036583,36.809735,北西五路与共青团西路辅路交叉口北80米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,青龙山公园,118.088849,36.826097,纬一路,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,莲池法治文化公园,118.03423,36.823497,华光路123号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,瑷肯体育公园,118.06226,36.83922,政通路151号院内球馆(原大球馆),风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,猪龙河生态公园,118.04949,36.804743,柳泉路与美食街交叉路口往东北约100米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,西张游园,118.085153,36.796736,东四路与新村路交叉口东北,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,齐盛湖公园,117.989284,36.841662,中润大道,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,金乔游园,118.076624,36.814346,东三路与潘南路交叉口东北240米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,金带公园,117.987166,36.820675,人民西路218号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,人民公园牡丹花,118.04935,36.812103,人民西路19号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,良乡体育运动公园,118.073226,36.777487,良乡小区内,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,孝妇河湿地公园,117.966585,36.799996,和平路,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,玉龙湖湿地公园,118.036436,36.876983,齐新大道与北西五路交叉口西260米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,西五路游园,118.03678,36.84263,西五路与政通路西,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,柳泉路沿河公园,118.046793,36.794352,兴学街与柳泉路交叉口东20米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,商家公园,118.097382,36.784934,烟厂东路4号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,北营公园,118.076584,36.860381,金晶大道与淄博立交交叉口西约100米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,颐景园中心公园,118.045123,36.797955,柳泉路21号颐景园内,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博2025机器人公园,118.108726,36.810638,四宝山街道二零二二路1001号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,九顶山公园,118.149906,36.825267,四宝山街道四宝山街道荣兰线,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,良乡公园,118.073459,36.777821,良乡体育运动公园(东北角),风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,齐林公园,118.062031,36.860615,裕民路金晶大道126号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,张店儿童公园活氧森林,118.073114,36.801707,共青团东路30号张店儿童公园内(东侧),风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,孝妇河骑行公园,118.003852,36.747937,南京路138号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,和平游园,118.032201,36.797716,和平路以北和平路北二巷以西,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,桥下公园,117.968623,36.851769,原山大道与鲁泰大道交叉处,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,猪龙河银泰城游园,118.037736,36.852834,银泰城口南北两侧,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,泰苑社区科普主题公园,118.036588,36.818969,北西五路兴业家园(北西六路),风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,法治文化公园,118.07064,36.884022,四宝山街道柳泉路甜源生活区西,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,和平街道见义勇为主题公园,118.039853,36.798472,和平社区,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,劳动公园-福欣园,118.032785,36.807663,南西六路共青团西路交叉口东南角,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,凯盛南湖湿地公园,118.007744,36.742352,财富大道3号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,远景花园法治科普游园,118.019766,36.842117,盛湖路与北苑东街交叉口东南120米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,孙庄党建主题公园,118.123778,36.846458,孙庄社区,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,猪龙河万杰路游园,118.040305,36.842185,猪龙河万杰路口南北两侧,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,劳动公园,117.995085,36.823149,北京路31号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,淄博市张店区和平喷泉公园,117.970292,36.802271,天津路南头与和平路西端交汇处丁字路口南侧,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,新时代美德健康生活主题公园,118.036701,36.840526,西五路与政通路西西五路游园内(南侧),风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,美达世纪华庭中心公园,118.016764,36.824686,小商品街88号美达世纪华庭内,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,齐盛湖公园北门办公区,117.988034,36.844019,龙泰贵府盛湖路南门对面公园停车场公园内东50米,风景名胜;公园广场;公园广场,山东省,淄博市,张店区
公园,高新区122交通安全主题公园,118.071863,36.865687,裕民路与顺河路交叉口,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,房镇体育公园,117.965537,36.86354,美田路,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,山东省,淄博市,张店区
公园,傅山公园,118.143232,36.875205,中心路与蟠龙山东路交叉口东南240米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,孙庄游园,118.122867,36.846228,民祥路与玉皇山路交叉口东南角,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,体坛小区中心公园,118.028164,36.800127,新村路劳动大厦西新村西路体坛小区内,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,百家姓主题纪念公园,117.995852,36.885687,北京路和齐祥交叉口,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,白鹭乐园,118.008001,36.742924,财富大道3号凯盛南湖湿地公园,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,涝淄河交通安全主题园,118.072132,36.867468,警民路与文化路交叉口西120米,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,德治文化公园,118.074285,36.883545,法治文化公园,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,青年公园,118.040537,36.760851,南定镇西山路21号,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,南营公园,118.068447,36.845105,鲁泰大道,风景名胜;公园广场;公园,山东省,淄博市,张店区
公园,涝淄河公园,118.071893,36.87101,四宝山街道赵王路三玉花园附近,风景名胜;公园广场;公园,山东省,淄博市,张店区
