类别,名称,经度,纬度,地址,类型,省,市,区县
医院,淄博市中心医院,118.053088,36.807533,共青团西路54号,医疗保健服务;综合医院;三级甲等医院,山东省,淄博市,张店区
医院,张店区中医院,118.049972,36.800925,新村西路28号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,张店区人民医院(主院区),118.057745,36.795784,金晶大道63号(淄博火车站北行300米路西),医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博张店中鲁中医院,118.063233,36.811867,金晶大道148号院内办公楼南楼一层102号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博市柳泉皮肤病研究院,118.052523,36.819287,柳泉路57号柳泉皮肤病研究院,科教文化服务;科研机构;科研机构,山东省,淄博市,张店区
医院,淄博市中西医结合医院,118.058868,36.793560,金晶大道8号(市第八人民医院),医疗保健服务;综合医院;三级甲等医院,山东省,淄博市,张店区
医院,淄博市中医医院柳泉路院区,118.053223,36.827182,柳泉路85号,医疗保健服务;专科医院;骨科医院,山东省,淄博市,张店区
医院,淄建集团医院,118.064021,36.801248,东一路36号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博市妇幼保健院东院区,118.060376,36.790092,杏园东路11号,医疗保健服务;专科医院;专科医院|医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博广电医院,118.048349,36.815733,柳泉路西二巷10号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,华仁中医医院,118.042517,36.807609,新世界商业街南段103号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博市中医医院柳泉路院区,118.054453,36.826690,柳泉路85号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博市市级机关医院,118.055697,36.811686,西二路265号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博张店瑞生医院,118.040721,36.828731,联通路76号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博四季青医院,118.041428,36.828633,联通路74甲8-1号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,张店区人民医院(南院区),118.059541,36.791552,洪沟路2号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博高新区机关医院,118.052056,36.840245,高创西路,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博高新四季青医院,118.033077,36.835900,中润大道20号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博张店圣诺医院,118.042855,36.813897,人民西路29号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博市市级机关医院(人民西路),118.047769,36.814238,人民西路24号甲3号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博市中医医院(和平路院区),118.037682,36.797434,[],医疗保健服务;综合医院;三级甲等医院,山东省,淄博市,张店区
医院,沁园社区卫生服务站,118.045357,36.814004,人民路25号宏程名座B座一层东一号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博昌国医院,118.027822,36.784534,昌国西路59号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博市第一医院张店院区,118.011185,36.835737,南京路121号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博益宁医院,118.077527,36.816858,华光路6号,医疗保健服务;医疗保健服务场所;医疗保健服务场所,山东省,淄博市,张店区
医院,世博高新医院,118.105384,36.829265,中润大道,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,科技苑社区卫生服务站,118.051755,36.833748,环翠路4号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博诺锋医院(骨科医院),118.035342,36.801729,新村西路111号甲1号(金恒家园北门东90米),医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博高新华庚医院,118.062790,36.843618,万杰路123-1号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
