类别,名称,经度,纬度,地址,类型,省,市,区县
商超,淄博万象汇,118.061399,36.802119,金晶大道辅路,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,富力万达广场,118.010986,36.838791,中润大道17号,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,吾悦广场(淄博店),118.025098,36.783679,世纪路昌国路交汇处东南角,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,淄博鑫马吾悦广场,118.001652,36.824664,华光路288号,购物服务;商场;商场,山东省,淄博市,张店区
商超,银泰城,118.034853,36.848682,鲁泰大道9号,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,印象汇,118.053114,36.822911,柳泉路67号,购物服务;商场;普通商场|购物服务;体育用品店;体育用品店,山东省,淄博市,张店区
商超,淄博恒太城,117.982976,36.823338,华光路331号,购物服务;商场;普通商场,山东省,淄博市,张店区
商超,淄博王府井广场,118.051895,36.805278,共青团路与柳泉路交叉口,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,新玛特购物广场(中润店),118.028589,36.837956,中润大道1号,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,新玛特购物广场店,118.028601,36.837944,中润大道1号新玛特购物广场中润店B1层,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,银座商城(淄博店),118.050481,36.805504,银座商城负一层依兰坊,购物服务;商场;普通商场,山东省,淄博市,张店区
商超,淄博商厦,118.058471,36.802055,金晶大道125号,购物服务;商场;普通商场|购物服务;家电电子卖场;手机销售,山东省,淄博市,张店区
商超,银座·奥特莱斯(柳泉路店),118.056075,36.834419,柳泉路105号,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,利群集团淄博购物广场,118.060455,36.800429,商场东路2号,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,银座购物广场(五里桥店),118.032224,36.813519,人民西路51号银座购物广场1层,购物服务;商场;普通商场|购物服务;商场;购物中心,山东省,淄博市,张店区
商超,奥朗特广场,118.012429,36.810507,[],购物服务;商场;普通商场|购物服务;商场;购物中心,山东省,淄博市,张店区
商超,德泰智汇广场,118.029104,36.822275,华光路116号,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,铝城购物中心,118.045266,36.753116,南定镇山铝花园路29号,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,富丽商城,118.056526,36.805114,共青团西路23号,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,利群时代(柳泉路店),118.047509,36.801921,柳泉路29号,购物服务;商场;普通商场,山东省,淄博市,张店区
商超,亿丰商场,118.002092,36.816668,重庆路亿丰大厦1-3层,购物服务;商场;普通商场,山东省,淄博市,张店区
商超,沣水生活广场,118.092496,36.770362,昌国路良乡物流东1000米,购物服务;综合市场;农副产品市场,山东省,淄博市,张店区
商超,振华商厦,118.056051,36.80162,城中西内环路与西一路交叉口西北80米,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,秀水地下商城(振华商厦店),118.055741,36.80212,振华商厦,购物服务;商场;普通商场,山东省,淄博市,张店区
商超,铭辰生活广场,118.092622,36.770385,铭辰百货东南门旁,购物服务;超级市场;超市,山东省,淄博市,张店区
商超,银泰百货(名尚银泰城店),118.035825,36.848275,鲁泰大道9号银泰城1F层,购物服务;个人用品/化妆品店;其它个人用品店,山东省,淄博市,张店区
商超,百信商场,118.05071,36.803084,健康街与美食街交叉口西50米,购物服务;商场;普通商场,山东省,淄博市,张店区
商超,KKV恒太城,117.983495,36.822913,马尚街道办事处华光路331号淄博超级恒太城F1层1F-003-005-006KKV店,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,众成·美都汇服饰广场(健康街),118.051487,36.803548,健康街96号,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,银座中心店2期,118.050725,36.805125,柳泉路110号,购物服务;商场;商场,山东省,淄博市,张店区
商超,云顺购物广场,118.025122,36.765016,南苑绿洲小区2区,购物服务;超级市场;超市,山东省,淄博市,张店区
商超,万通,118.050587,36.803687,张店区美食街82号,购物服务;商场;普通商场|公司企业;公司企业;公司企业,山东省,淄博市,张店区
商超,南定购物广场(淄博商厦铝城购物中心店),118.046169,36.752724,南定镇西山路3号,购物服务;超级市场;超市,山东省,淄博市,张店区
商超,淄博鑫阳二手商城(淄博仓),118.081153,36.830496,中润大道156号,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,淄博大成商场,118.055089,36.805645,西二路181号,购物服务;商场;普通商场|购物服务;便民商店/便利店;便民商店/便利店,山东省,淄博市,张店区
商超,钰朋购物中心(沣水店),118.090277,36.756057,城东路南首,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,核心商城,118.02041,36.785217,昌国路105号鲁中装饰博览城,购物服务;商场;普通商场,山东省,淄博市,张店区
商超,湖田供销社百货商场,118.124208,36.789429,湖光路12号,政府机构及社会团体;政府机关;乡镇级政府及事业单位|购物服务;超级市场;超市|购物服务;便民商店/便利店;便民商店/便利店,山东省,淄博市,张店区
商超,修德百货,118.049951,36.797448,健康街23号甲7号,购物服务;便民商店/便利店;便民商店/便利店,山东省,淄博市,张店区
商超,金达购物广场,118.058281,36.842413,金达大厦1号,购物服务;商场;普通商场,山东省,淄博市,张店区
商超,明珠百货(洪沟路店),118.096046,36.788613,洪沟路与宝山路快速路辅路交叉口东80米,购物服务;便民商店/便利店;便民商店/便利店,山东省,淄博市,张店区
商超,百姓商城驿站,118.068149,36.809626,东二路与人民东路辅路交叉口南60米,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,静墨澜百货服装工作室(乔里店),118.075073,36.81887,体育场街道华光路16号乔里院落式办公D1,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,山东省,淄博市,张店区
商超,天鸿综合商城,118.062087,36.799304,东一路区公安局对面,购物服务;商场;普通商场,山东省,淄博市,张店区
商超,京艺琴行戏剧舞蹈商场,118.05342,36.805846,共青团西路53之6-8,购物服务;专卖店;专营店,山东省,淄博市,张店区
商超,南定泰贸商场,118.04791,36.751906,[],购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,嗨惠多商城,118.043014,36.751244,铝城第一小学西北门东北50米,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,西山商场,118.04399,36.752766,花园路20号,购物服务;花鸟鱼虫市场;花卉市场|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,山东省,淄博市,张店区
商超,花仙女鲜花店商场西街店,118.045878,36.803872,商场西街41号,购物服务;花鸟鱼虫市场;花卉市场,山东省,淄博市,张店区
商超,金世界商城,118.050285,36.819,柳泉路西三巷38号,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,冰洁制冷电器家电商场,118.093975,36.777328,沣水镇,购物服务;家电电子卖场;家电电子卖场,山东省,淄博市,张店区
商超,鲁臣商城,118.051405,36.809116,柳泉路与西二路西六巷交叉口东北140米,购物服务;商场;普通商场,山东省,淄博市,张店区
商超,众赢商城,118.053325,36.805784,共青团路53号,购物服务;商场;商场,山东省,淄博市,张店区
商超,鹿隐女装(新东升·福园西区店),118.027729,36.807304,福园福悦南街47甲19号鹿隐女装,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,山东省,淄博市,张店区
商超,嗨惠多商城,118.077323,36.804818,杜科中心街与共青团东路辅路交叉口北220米,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,惠购商城,118.057835,36.827413,联通路与柳泉路交叉口东240米,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,永春日化义乌商城店,118.020546,36.824888,华川西16街3326号,购物服务;个人用品/化妆品店;其它个人用品店,山东省,淄博市,张店区
商超,义乌商城(博大广场店),118.017175,36.823575,小商品街88号美达华庭,购物服务;商场;普通商场,山东省,淄博市,张店区
商超,名筑商城,117.996469,36.799556,马尚镇和平路148号,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,嗨惠多商城,118.017095,36.808445,恒大帝景2期,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,市青少年宫中心商城,118.061839,36.806994,金晶大道118号中心商城,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,筑泰商贸城,118.083075,36.798025,商场东路与宝沣路交叉口西140米,购物服务;购物相关场所;购物相关场所|商务住宅;商务住宅相关;商务住宅相关,山东省,淄博市,张店区
商超,2元连锁超市(商城广场街店),118.022035,36.822985,淄博义乌小商品城一期南门东南60米,购物服务;超级市场;超市,山东省,淄博市,张店区
商超,宏城国际广场商业街(宏程国际广场店),118.011066,36.827125,宏程·国际广场,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,淄博商厦针织商场仓库,118.058175,36.801875,金晶大道125号淄博商厦F3,购物服务;家电电子卖场;手机销售,山东省,淄博市,张店区
商超,洪沟五金机电城10号楼,118.074202,36.786367,杏园东路68号洪沟五金机电城,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,麦德龙(淄博张店商场),118.038197,36.767146,经济技术开发区山泉路102号,购物服务;超级市场;麦德龙|公司企业;公司;公司,山东省,淄博市,张店区
商超,红星美凯龙(淄博昌国商场),118.033773,36.783271,昌国路23号红星美凯龙,购物服务;家居建材市场;家具城,山东省,淄博市,张店区
商超,顾家家居(政通路居然店),118.057556,36.84184,柳泉路居然之家3楼,购物服务;家居建材市场;家居建材市场,山东省,淄博市,张店区
商超,星盟烟酒超市(商场西街店),118.046951,36.80392,和平家具城社区北门旁,购物服务;专卖店;烟酒专卖店,山东省,淄博市,张店区
商超,桐桐超市(商场东街店),118.070653,36.799632,商场东街22号13,购物服务;便民商店/便利店;便民商店/便利店,山东省,淄博市,张店区
商超,红高粱老酒坊(商场路店),118.066225,36.800475,商场东街23号,购物服务;专卖店;烟酒专卖店,山东省,淄博市,张店区
商超,舒达床垫(淄博红星美凯龙昌国商场店),118.033875,36.783225,车站街道昌国路23号红星美凯龙二楼,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,莱克健康家电体验馆(商场东街店),118.069781,36.79978,商场东路22-1,购物服务;家电电子卖场;家电电子卖场,山东省,淄博市,张店区
商超,新日电动车(商场路店),118.047278,36.80421,商场西路10号世纪上城,购物服务;专卖店;自行车专卖店,山东省,淄博市,张店区
商超,银座超市(淄博银座商城店),118.050484,36.805618,柳泉路128号银座商城B1,购物服务;超级市场;超市,山东省,淄博市,张店区
商超,添可Tineco银座商城(淄博店),118.050461,36.805134,银座商城(淄博店),购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
