类别,名称,经度,纬度,地址,类型,省,市,区县
学校,淄博中学,118.120439,36.831177,中润大道东首295号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东淄博实验中学,118.008153,36.801282,张周路11号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东省淄博第十一中学,118.058347,36.850701,柳泉路北首119号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东省淄博第五中学,118.063129,36.791132,洪沟路6号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博齐盛高级中学,117.976779,36.852334,房镇镇南范路淄博新区,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区第八中学,117.996954,36.825344,华光路298号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博信息工程学校,118.067903,36.805023,共青团东路27号,科教文化服务;学校;职业技术学校,山东省,淄博市,张店区
学校,淄博高新区实验中学,118.128522,36.830556,张店区高新区中润大道299号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博东方双语学校,118.071636,36.808338,人民东路16号,科教文化服务;学校;学校,山东省,淄博市,张店区
学校,山东省淄博第十七中学,118.035688,36.810232,十七中北街1号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博高新区外国语学校,118.124979,36.830867,中润大道297号,科教文化服务;学校;学校,山东省,淄博市,张店区
学校,淄博市张店区齐盛学校,117.975330,36.836168,中润大道南,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博柳泉中学,117.977727,36.819203,人民西路,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区第一中学,118.043795,36.795111,和平路7号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区第二中学,118.070757,36.808516,人民东路14号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东省淄博第十八中学,118.055517,36.818262,潘南西路18号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区重庆路中学,118.008215,36.844799,盛湖路与重庆路小学东路交叉口东北140米,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,淄博市张店区实验中学,118.025832,36.799455,世纪路36号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区第七中学,118.031440,36.818856,北西六路57号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博经济开发区实验学校,118.029182,36.772790,海岱大道10555号,科教文化服务;学校;学校,山东省,淄博市,张店区
学校,齐德学校,117.989599,36.803053,北京路西城尚苑小区对面,科教文化服务;学校;学校,山东省,淄博市,张店区
学校,张店区第九中学,118.022021,36.815689,人民西路126号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,东方实验学校,118.078156,36.821028,联通路与东四路交叉口西南角,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,张店区第三中学,118.057250,36.807199,金晶大道西4巷3号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市张店区铝城第一中学,118.040937,36.748754,花园路30号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,龙凤苑中学,118.006056,36.834279,重庆路与齐盛路交叉口东北260米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博稷下实验学校,117.965198,36.816474,人民西路与济南路交叉口西南220米,科教文化服务;学校;学校,山东省,淄博市,张店区
学校,淄博市高新区第一中学,118.036423,36.855487,兰雁大道,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博修文外国语学校,117.975357,36.837448,中润大道与香港路交叉口南100米,科教文化服务;学校;中学|科教文化服务;学校;小学,山东省,淄博市,张店区
学校,张店区莲池学校,118.031351,36.830007,联通路121-甲8附近,科教文化服务;学校;学校,山东省,淄博市,张店区
学校,淄博外语学校,118.035326,36.787985,车站街道王舍路115号欧麦蛋糕,科教文化服务;学校;小学,山东省,淄博市,张店区
学校,潘庄高级中学,118.060365,36.823397,迎春街与联通路交叉口南360米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区科技苑中学,118.050969,36.828994,联通路与橙香路交叉口东北160米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博世纪英才外语学校,118.065000,36.842399,万杰路116号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博张店东方双语学校,118.001771,36.799963,重庆路与和平路交汇处北100米路东,科教文化服务;学校;小学,山东省,淄博市,张店区
学校,淄博市张店区第六中学,117.998020,36.769038,南重庆路166号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博高新区科学城实验中学,118.032822,36.887442,陶韵路与齐祥路交叉口,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东淄博新元学校,118.053855,36.819376,柳泉路224号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博高新区华侨城学校,118.035677,36.839421,裕桥花园19号商铺,科教文化服务;学校;小学,山东省,淄博市,张店区
学校,张店区世纪中学,118.025401,36.796467,世纪路与和平路交叉口东南180米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博鑫安职业培训学校,118.070039,36.858077,北营村老年公寓南楼,科教文化服务;学校;职业技术学校,山东省,淄博市,张店区
学校,淄博神州艺术学校,118.018137,36.817052,人民西路164号,科教文化服务;学校;职业技术学校,山东省,淄博市,张店区
学校,淄博黉门中学,118.052253,36.856867,规划路11号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市文化旅游学校,118.028575,36.819375,世纪路淄博市技师学院,科教文化服务;学校;学校,山东省,淄博市,张店区
学校,淄博市张店区第四中学,118.088207,36.753633,沣水镇城东路1号淄博市张店区沣水中学附近,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博小乐化妆美甲培训学校,118.053825,36.802830,美食街与西二路交叉口以西20米路北34号润昇18特区1层,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市张店区建桥中学,118.031465,36.820234,北西六路59号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博宝鑫新经典学校,118.100999,36.818062,四宝山街道办事处尚庄村,科教文化服务;学校;小学,山东省,淄博市,张店区
学校,淄博市竞技体育学校,118.084264,36.769972,第四中学昌国路与东四路路口东300米路南,科教文化服务;学校;职业技术学校,山东省,淄博市,张店区
学校,山东新惠杰职业技能培训学校有限公司,118.096313,36.830413,张店区高新区柳毅山路236号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市张店区南定中学,118.046504,36.742334,崔军南定中学,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市美达菲双语高级中学,117.966026,36.815861,人民西路与济南路交叉口西南100米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区文苑学校,118.057396,36.770116,南定镇朝阳路9号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市淄建职业培训学校,118.079975,36.805075,共青团东路37号3层,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,淄博市张店区第十二中学,118.114856,36.790903,杏园街道办事处湖光路3号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区特殊教育中心学校,118.052517,36.797538,西二路45号,科教文化服务;学校;成人教育|科教文化服务;学校;职业技术学校,山东省,淄博市,张店区
学校,淄博市泽泉公共安全职业培训学校,118.078276,36.816738,华光路2号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博宝鑫新经典中学,118.100135,36.818183,尚庄路与春风路交叉口西北160米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博凯莱希模特与礼仪职业培训学校,118.061175,36.818666,科苑街道办事处华光路47号民泰兴旺家园13号商业楼东,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博华安职业培训学校(总校区),117.987064,36.748713,山东省淄博市经开区中国陶瓷博览城21号楼新经济总部五楼,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博学易高考学校,118.098398,36.856489,宝山路隽山生活区内,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,祥瑞园小学,118.010582,36.824284,马尚街道南京路77号,科教文化服务;学校;小学,山东省,淄博市,张店区
学校,淄博市开创教育培训学校,118.050889,36.845357,泰美路16号院内办公楼,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,张店区汇智中学,118.034798,36.787260,王舍路83号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,清大东方消防学校(淄博校区),118.066628,36.855991,北营北路以北14号楼,科教文化服务;培训机构;培训机构|科教文化服务;学校;学校,山东省,淄博市,张店区
学校,淄博新星技术学校,118.060891,36.807190,金晶大道179号(华润3期商铺5号电梯上),科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,淄博志成学校,118.065964,36.864198,裕民路258号齐鲁电商谷东园区B座10层,科教文化服务;学校;学校,山东省,淄博市,张店区
学校,淄博东方双语学校(人民东路校区),118.071889,36.809257,人民东路16号,科教文化服务;学校;小学,山东省,淄博市,张店区
学校,淄博婷好艺术学校,118.042021,36.812517,公园街道西四路92号,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,一优教育培训学校,118.078022,36.788705,洪沟北街136号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博商贸培训学校,118.087769,36.831443,中润大道178号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,金色·阳光艺术培训学校,118.018152,36.842931,远景花园北1门东50米,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,圣韵音乐培训学校(淄博张店校区),118.022327,36.826215,西班牙风情街67号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市张店区立人教育培训学校,118.012258,36.810497,共青团西路268号(奥朗特购物广场西三层),科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,葛兰姆艺术学校,118.023916,36.809244,共青团西路146号天都商务中心F8层,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市技师学院经开校区,118.051685,36.770831,张南路101号,科教文化服务;学校;职业技术学校,山东省,淄博市,张店区
学校,光美艺术培训学校,118.027285,36.802543,新村西路139号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,神州艺术培训学校张店怡海名人分校,118.004868,36.830574,重庆路怡海名人大厦三楼,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,希希里艺术学校,118.067153,36.871472,柳泉路中德·奥林新城,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博上尚美术学校,118.020843,36.811720,瑞安路48号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,山东理工大学(西校区),118.000702,36.810370,新村西路266号,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,淄博立仁职业技能培训学校,118.045677,36.746507,南一街生活区8号楼37,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博学天消防培训学校,118.023467,36.802675,世纪路31号南70米环齐大厦14层1402室,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市实验幼儿园新园,117.977860,36.820666,马尚街道汇文路1号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博鸿力艺术培训学校,118.045224,36.813822,人民西路25号宏程名座B座11层,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,昱彤艺术学校,117.993060,36.799317,汇美·和平里东北门旁,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博博苑实验幼儿园,117.999673,36.819831,林泽花园东区南门,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,张店区第一中学初中部,118.042312,36.796296,和平路9号甲1号,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
