类别,名称,经度,纬度,地址,类型,省,市,区县
学校,淄博中学,118.120439,36.831177,中润大道东首295号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东淄博实验中学,118.008153,36.801282,张周路11号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东省淄博第十一中学,118.058347,36.850701,柳泉路北首119号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东省淄博第五中学,118.063129,36.791132,洪沟路6号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博齐盛高级中学,117.976779,36.852334,房镇镇南范路淄博新区,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区第八中学,117.996954,36.825344,华光路298号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博高新区实验中学,118.128522,36.830556,张店区高新区中润大道299号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东省淄博第十七中学,118.035688,36.810232,十七中北街1号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市张店区齐盛学校,117.97533,36.836168,中润大道南,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博柳泉中学,117.977727,36.819203,人民西路,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区第一中学,118.043795,36.795111,和平路7号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区第二中学,118.070757,36.808516,人民东路14号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东省淄博第十八中学,118.055517,36.818262,潘南西路18号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市张店区实验中学,118.025832,36.799455,世纪路36号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区第七中学,118.03144,36.818856,北西六路57号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区第九中学,118.022021,36.815689,人民西路126号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区第三中学,118.05725,36.807199,金晶大道西4巷3号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市张店区铝城第一中学,118.040937,36.748754,花园路30号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,龙凤苑中学,118.006056,36.834279,重庆路与齐盛路交叉口东北260米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市高新区第一中学,118.036423,36.855487,兰雁大道,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博修文外国语学校,117.975357,36.837448,中润大道与香港路交叉口南100米,科教文化服务;学校;中学|科教文化服务;学校;小学,山东省,淄博市,张店区
学校,潘庄高级中学,118.060365,36.823397,迎春街与联通路交叉口南360米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区科技苑中学,118.050969,36.828994,联通路与橙香路交叉口东北160米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博世纪英才外语学校,118.065,36.842399,万杰路116号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市张店区第六中学,117.99802,36.769038,南重庆路166号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博高新区科学城实验中学,118.032822,36.887442,陶韵路与齐祥路交叉口,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东淄博新元学校,118.053855,36.819376,柳泉路224号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区世纪中学,118.025401,36.796467,世纪路与和平路交叉口东南180米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博黉门中学,118.052253,36.856867,规划路11号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市张店区第四中学,118.088207,36.753633,沣水镇城东路1号淄博市张店区沣水中学附近,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市张店区建桥中学,118.031465,36.820234,北西六路59号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市张店区南定中学,118.046504,36.742334,崔军南定中学,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市美达菲双语高级中学,117.966026,36.815861,人民西路与济南路交叉口西南100米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区文苑学校,118.057396,36.770116,南定镇朝阳路9号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博黉门科技高中,118.052404,36.856963,泰美路211号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博市张店区第十二中学,118.114856,36.790903,杏园街道办事处湖光路3号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博宝鑫新经典中学,118.100135,36.818183,尚庄路与春风路交叉口西北160米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区汇智中学,118.034798,36.78726,王舍路83号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东理工大学(西校区),118.000702,36.81037,新村西路266号,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,山东理工大学东校区,118.039909,36.811461,共青团西路88号,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,鸿成八中校区,117.999495,36.825989,华光路300号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,张店区第七中学(东校区),118.049725,36.828725,橙香路与联通路交叉口北80米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博张店美术中学,118.051318,36.833698,科技苑庭兰村南1门东120米,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,山东理工大学东校区商学院,118.03951,36.813249,共青团西路86号甲27号山东理工大学东校区,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,山东理工大学国际学术交流中心,118.042084,36.810257,新世界商业街36号,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,山东理工大学机械交通实验中心,117.994954,36.806875,新村西路266号山东理工大学,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,山东理工大学(西校区)-建筑工程学院大学生学习发展指导中心,117.996859,36.808628,绿岛西路山东理工大学教学楼12号楼,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,中国人民大学少年新闻学院(淄博分院),118.02444,36.84188,世纪路阳光国际B座601室,科教文化服务;学校;成人教育|科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,山东理工大学商学院农业推广硕士教育中心,118.037803,36.812962,共青团西路86号甲27号山东理工大学东校区,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,山东理工大学EDP教育中心,118.037803,36.812963,共青团西路86号甲27号山东理工大学东校区,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,山东理工大学商学院学生学习与发展指导中心,118.041525,36.812975,共青团西路86号甲27号山东理工大学东校区,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,山东理工大学农业工程与食品科学学院党团服务中心,117.996609,36.814923,新村西路266号山东理工大学学生公寓15号楼,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,山东理工大学商学院工程硕士教育中心,118.037803,36.812962,共青团西路86号甲27号山东理工大学东校区,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,中国音乐学院全国音乐家协会(南定)考级报名点,118.050247,36.770471,张南路与朝阳路交叉口北80米,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,山东大学齐鲁医学院淄博临床学院,118.106044,36.829363,中润大道世博高新医院,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,山东理工大学新型聚氨酯材料研究院科技成果展示厅,117.993976,36.810664,山东理工大学物业管理中心西门旁,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,淄博十七中新校区(建设中),117.997909,36.776304,考工路与重庆路交叉口西南角,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,淄博第三十一中学(建设中),118.190451,36.854098,中埠镇铁山路 76 号,科教文化服务;学校;中学,山东省,淄博市,张店区
学校,新城建工绿城北中学项目(建设中),117.980425,36.855275,绿城北中学项目(建设中),科教文化服务;学校;中学|商务住宅;住宅区;住宅小区,山东省,淄博市,张店区
