类别,名称,经度,纬度,地址,类型,省,市,区县
小区,1号大院,118.023309,36.79285,王舍路198号一号大院C1-2,商务住宅;住宅区;住宅小区|商务住宅;楼宇;商务写字楼|餐饮服务;中餐厅;中餐厅,山东省,淄博市,张店区
小区,里程花园商业C座,118.072881,36.797004,商场东街24号里程花园,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,益林企业公园1号楼A座,118.012375,36.866225,益林·企业公园,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,天行健大厦,118.043139,36.839195,淄博高新区张桓路77号,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,天府国际B座,118.028479,36.80318,新村西路186号天府国际,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,益林企业公园2号楼,118.011675,36.866275,益林·企业公园,商务住宅;产业园区;产业园区|商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,阳光国际,118.02419,36.842176,西七路华侨城对过,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,火炬大厦,118.05733,36.839273,政通路与火炬公园绿道交叉口东北60米,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,颐和大厦,118.067813,36.833471,金晶大道265号颐和花园,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,齐新大厦,118.066836,36.878385,"齐新花园23,28号楼",商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,阳光国际A座,118.024497,36.842463,阳光花园路与世纪路交叉口西180米,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,阳光国际B座,118.024442,36.841883,阳光国际,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,傅山文化中心,118.141293,36.876633,傅山公园,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,民泰兴旺家园写字楼,118.059675,36.819025,华光路47号民泰·兴旺家园,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,金豪大厦,118.058362,36.792043,洪沟路2号甲4号,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,张店区淄博市金融中心大厦,117.99053,36.81768,人民西路321号东北方向100米,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,明发世贸中心-北区,117.982403,36.822101,明发世贸中心,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,张店区青年创业园C座,118.016543,36.803111,鑫城中心C座,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,张店区青年创业园B座,118.014175,36.803374,新村西路179号淄博市张店区大学生创业园,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,山东淄博市张店区四宝山街道医创中心总部,118.028625,36.848475,医创园,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,张店区工商银行大厦,118.063357,36.810805,体育场街道金晶大道146号中国工商银行(淄博张店支行),商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,张店区金晶大道外贸发展大厦,118.057775,36.794225,金晶大道辅路与兴学街交叉口北80米,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,双创中心南区,118.202825,36.848625,张店经济开发区双创中心,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,淄博创新谷A区A2座,117.975711,36.826505,华光路376号淄博创新谷,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,山东淄博市张店区天府置业办公楼,118.050327,36.81629,柳泉路西二巷6号甲1号,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,中央商务区,118.068975,36.835575,中润大道与金晶大道交叉口西140米,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,淄博张店区齐鲁电商谷A3座,118.064575,36.868775,四宝山街道开发区柳泉路139号齐鲁电商谷,商务住宅;楼宇;商务写字楼|商务住宅;产业园区;产业园区,山东省,淄博市,张店区
小区,西寨社区名仕城北区A座,118.012075,36.803725,马尚街道西寨社区名仕城,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,浮山驿东区综合楼,118.008175,36.762225,浮山驿小区东区,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,盛湖大厦,117.997866,36.844389,盛湖路与北京路交叉口东北角,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
小区,润德大厦,117.991625,36.821866,心环东路与金一巷交叉口东南80米,商务住宅;楼宇;商务写字楼,山东省,淄博市,张店区
